Time_s,CTSresistance,HeartRate,OxygenSaturation,CoreTemperature,RespirationRate,FatigueLevel,TotalWorkRateLevel,AchievedExerciseLevel,TotalMetabolicRate_W,CardiacOutput,SBP,DBP,SweatRate,MuscleGlycogen
1.0,0,72.0,0.9791,36.94,15.96,0.0,0.0,0.0,84.13,5.78,114.7,74.5,0.0,592.2
2.0,0,72.35,0.9791,36.94,15.96,0.0,0.0,0.0,84.13,5.8,114.8,74.5,0.0,592.2
3.0,0,72.38,0.9791,36.94,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.2
4.0,0,72.36,0.9791,36.94,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.2
5.0,0,72.31,0.9791,36.94,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.2
6.0,0,72.32,0.9791,36.94,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.2
7.0,0,72.34,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.2
8.0,0,72.31,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.2
9.0,0,72.28,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.2
10.0,0,72.28,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.2
11.0,0,72.29,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.9,74.5,0.0,592.2
12.0,0,72.26,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.2
13.0,0,72.24,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.2
14.0,0,72.25,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
15.0,0,72.28,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
16.0,0,72.24,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
17.0,0,72.24,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
18.0,0,72.27,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
19.0,0,72.28,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
20.0,0,72.26,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
21.0,0,72.26,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
22.0,0,72.29,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
23.0,0,72.28,0.9791,36.93,15.96,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
24.0,0,72.25,0.9791,36.93,16.04,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
25.0,0,72.25,0.9791,36.93,16.04,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
26.0,0,72.29,0.9791,36.93,16.04,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
27.0,0,72.26,0.9791,36.93,16.04,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
28.0,0,72.25,0.9791,36.93,16.04,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
29.0,0,72.27,0.9791,36.93,16.04,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
30.0,0,72.29,0.9791,36.93,16.04,0.0,0.0,0.0,84.13,5.81,114.8,74.5,0.0,592.19
31.0,0,72.5,0.9791,36.93,16.04,0.0,0.1257,0.6284,209.83,5.82,114.9,74.6,0.0,592.19
32.0,0,76.9,0.9791,36.93,16.04,0.0,0.1729,0.8647,257.09,6.16,116.0,75.4,0.0,592.19
33.0,0,79.77,0.9791,36.93,16.04,0.0,0.1901,0.9507,274.3,6.33,117.5,77.3,0.0,592.19
34.0,0,81.21,0.9792,36.93,20.83,0.0,0.1964,0.9821,280.57,6.34,119.0,79.7,0.0,592.19
35.0,0,81.5,0.9793,36.93,20.83,0.0,0.1987,0.9935,282.85,6.27,120.0,81.5,0.0,592.19
36.0,0,81.18,0.9794,36.93,20.83,0.0,0.1995,0.9976,283.68,6.24,119.8,81.4,0.0,592.19
37.0,0,80.96,0.9796,36.93,23.44,0.0,0.1998,0.9991,283.99,6.22,119.5,80.3,0.0,592.19
38.0,0,80.94,0.9799,36.93,23.44,0.0,0.1999,0.9997,284.1,6.27,118.3,79.5,0.0,592.19
39.0,0,81.22,0.9802,36.93,23.44,0.0,0.2,0.9999,284.14,6.29,118.1,79.6,0.0,592.19
40.0,0,81.75,0.9804,36.93,23.62,0.0,0.2,1.0,284.15,6.26,118.5,80.4,0.0,592.19
41.0,0,81.81,0.981,36.93,23.62,0.0,0.2,1.0,284.16,6.25,118.3,80.2,0.0,592.19
42.0,0,81.84,0.9812,36.93,23.62,0.0,0.2,1.0,284.16,6.24,118.0,80.0,0.0,592.18
43.0,0,82.11,0.9816,36.93,23.62,0.0,0.2,1.0,284.16,6.24,117.5,79.5,0.0,592.18
